iter	Passed	Remaining
0	103	103345
1	104	52054
2	105	34976
3	106	26428
4	107	21309
5	107	17876
6	108	15424
7	109	13583
8	110	12170
9	111	11027
10	112	10101
11	113	9324
12	114	8661
13	114	8095
14	115	7604
15	116	7178
16	117	6805
17	118	6468
18	119	6165
19	120	5890
20	121	5642
21	121	5419
22	122	5218
23	123	5033
24	124	4860
25	125	4701
26	126	4552
27	127	4412
28	128	4289
29	129	4172
30	129	4062
31	130	3957
32	131	3858
33	132	3764
34	133	3676
35	134	3595
36	148	3860
37	149	3781
38	150	3702
39	151	3626
40	151	3553
41	152	3485
42	153	3424
43	154	3362
44	155	3303
45	156	3246
46	157	3190
47	158	3136
48	159	3085
49	159	3038
50	160	2992
51	161	2948
52	162	2904
53	163	2861
54	164	2820
55	165	2781
56	166	2747
57	166	2711
58	167	2676
59	168	2642
60	169	2608
61	170	2576
62	171	2544
63	171	2515
64	172	2486
65	173	2458
66	174	2431
67	175	2403
68	176	2377
69	176	2351
70	177	2327
71	178	2304
72	179	2283
73	180	2260
74	181	2237
75	182	2215
76	183	2193
77	184	2175
78	185	2159
79	186	2141
80	187	2122
81	187	2103
82	188	2081
83	189	2063
84	190	2055
85	192	2041
86	193	2025
87	193	2009
88	194	1993
89	195	1976
90	196	1963
91	197	1948
92	198	1935
93	199	1920
94	200	1906
95	200	1892
96	201	1878
97	202	1867
98	203	1854
99	204	1841
100	205	1829
101	206	1817
102	207	1805
103	208	1794
104	209	1783
105	210	1773
106	211	1762
107	212	1751
108	212	1740
109	213	1728
110	214	1718
111	215	1708
112	216	1698
113	217	1687
114	218	1677
115	218	1667
116	219	1656
117	220	1646
118	221	1638
119	222	1630
120	223	1622
121	223	1611
122	224	1602
123	225	1593
124	226	1584
125	227	1577
126	228	1567
127	229	1560
128	229	1552
129	230	1544
130	231	1535
131	232	1527
132	233	1520
133	234	1513
134	235	1507
135	236	1499
136	236	1492
137	237	1484
138	238	1477
139	239	1470
140	240	1463
141	240	1455
142	241	1449
143	242	1442
144	243	1435
145	244	1428
146	245	1422
147	246	1416
148	246	1410
149	247	1404
150	248	1398
151	249	1391
152	250	1385
153	251	1379
154	252	1374
155	252	1368
156	253	1363
157	254	1358
158	255	1353
159	257	1350
160	257	1344
161	258	1338
162	259	1334
163	260	1329
164	261	1324
165	262	1319
166	263	1313
167	264	1309
168	265	1304
169	266	1300
170	267	1295
171	268	1290
172	268	1285
173	269	1280
174	270	1276
175	271	1271
176	272	1267
177	273	1264
178	274	1260
179	275	1255
180	276	1251
181	277	1246
182	278	1242
183	279	1238
184	280	1234
185	281	1230
186	281	1225
187	282	1221
188	283	1217
189	284	1213
190	285	1209
191	286	1205
192	287	1201
193	288	1197
194	289	1193
195	289	1189
196	290	1185
197	291	1182
198	292	1178
199	293	1174
200	294	1170
201	295	1166
202	296	1162
203	297	1159
204	298	1156
205	299	1152
206	299	1149
207	300	1145
208	301	1141
209	302	1138
210	303	1135
211	304	1131
212	305	1128
213	306	1124
214	307	1121
215	308	1117
216	309	1115
217	310	1112
218	310	1109
219	311	1105
220	312	1101
221	313	1099
222	314	1096
223	315	1093
224	316	1090
225	317	1087
226	318	1084
227	319	1080
228	320	1077
229	320	1074
230	321	1071
231	322	1068
232	323	1065
233	324	1062
234	325	1059
235	326	1056
236	327	1052
237	327	1049
238	328	1046
239	329	1043
240	330	1040
241	331	1037
242	332	1034
243	333	1031
244	334	1029
245	334	1026
246	335	1023
247	336	1021
248	337	1018
249	338	1015
250	339	1012
251	340	1010
252	341	1007
253	342	1005
254	343	1003
255	344	1000
256	345	997
257	346	995
258	347	993
259	348	990
260	349	988
261	350	986
262	351	984
263	352	981
264	353	979
265	354	976
266	355	974
267	355	972
268	356	969
269	357	966
270	358	964
271	359	962
272	360	959
